countries,feature,value,confidence
Greek,attractive,no,0.09
Greek,bags under eyes,no,0.35
Greek,bald,no,0.64
Greek,bangs,no,0.64
Greek,beard,no,0.92
Greek,big lips,no,0.27
Greek,big nose,no,0.74
Greek,black hair,no,0.55
Greek,blond hair,no,0.18
Greek,blurry,yes,0.33
Greek,brown hair,no,0.1
Greek,bushy eyebrows,no,1.0
Greek,chubby,no,0.69
Greek,double chin,no,0.92
Greek,expression,smile,0.44
Greek,gender,female,1.0
Greek,glasses,no,1.0
Greek,goatee,no,0.89
Greek,gray hair,no,1.0
Greek,heavy makeup,no,0.28
Greek,high cheekbones,yes,0.33
Greek,mouth open,yes,0.06
Greek,mustache,no,0.99
Greek,narrow eyes,yes,0.43
Greek,oval face,yes,0.33
Greek,pale skin,no,0.14
Greek,pointy nose,no,0.92
Greek,race,white,1.0
Greek,receding hairline,no,0.21
Greek,rosy cheeks,no,1.0
Greek,sideburns,no,1.0
Greek,straight hair,yes,0.69
Greek,wavy hair,no,1.0
Greek,wearing earrings,no,0.22
Greek,wearing hat,no,0.56
Greek,wearing lipstick,yes,0.03
Greek,wearing necklace,no,0.09
Greek,wearing necktie,no,1.0
Greek,young,yes,0.76
Hungarian,5oclock shadow,no,1.0
Hungarian,arched eyebrows,no,0.44
Hungarian,attractive,yes,0.49
Hungarian,bags under eyes,no,0.73
Hungarian,bald,no,0.69
Hungarian,bangs,no,0.45
Hungarian,beard,no,1.0
Hungarian,big lips,no,0.74
Hungarian,big nose,no,0.98
Hungarian,black hair,no,0.33
Hungarian,blond hair,no,0.74
Hungarian,blurry,no,0.38
Hungarian,brown hair,yes,0.36
Hungarian,bushy eyebrows,no,0.89
Hungarian,chubby,no,0.84
Hungarian,double chin,no,1.0
Hungarian,expression,smile,0.82
Hungarian,gender,female,0.9
Hungarian,glasses,no,1.0
Hungarian,goatee,no,1.0
Hungarian,gray hair,no,1.0
Hungarian,heavy makeup,no,0.17
Hungarian,high cheekbones,yes,0.48
Hungarian,mouth open,no,0.68
Hungarian,mustache,no,1.0
Hungarian,narrow eyes,no,0.98
Hungarian,oval face,yes,1.0
Hungarian,pale skin,no,0.22
Hungarian,pointy nose,no,0.77
Hungarian,race,white,1.0
Hungarian,receding hairline,no,0.4
Hungarian,rosy cheeks,no,0.78
Hungarian,sideburns,no,1.0
Hungarian,straight hair,yes,1.0
Hungarian,wavy hair,no,1.0
Hungarian,wearing earrings,no,0.43
Hungarian,wearing hat,no,0.97
Hungarian,wearing lipstick,yes,0.28
Hungarian,wearing necklace,no,0.38
Hungarian,wearing necktie,no,0.78
Hungarian,young,yes,0.83
Indian,5oclock shadow,no,1.0
Indian,arched eyebrows,yes,0.05
Indian,attractive,no,0.03
Indian,bags under eyes,no,0.52
Indian,bald,no,0.78
Indian,bangs,no,0.55
Indian,beard,no,0.96
Indian,big lips,yes,0.03
Indian,big nose,no,0.34
Indian,black hair,yes,0.35
Indian,blond hair,no,0.82
Indian,blurry,no,0.26
Indian,brown hair,no,0.34
Indian,bushy eyebrows,no,0.53
Indian,chubby,no,0.52
Indian,double chin,no,0.81
Indian,expression,smile,0.68
Indian,gender,female,1.0
Indian,glasses,no,1.0
Indian,goatee,no,0.95
Indian,gray hair,no,1.0
Indian,heavy makeup,yes,0.14
Indian,high cheekbones,yes,0.69
Indian,mouth open,no,0.38
Indian,mustache,no,1.0
Indian,narrow eyes,no,0.53
Indian,oval face,yes,0.64
Indian,pale skin,no,0.65
Indian,pointy nose,no,0.82
Indian,race,asian,0.55
Indian,receding hairline,no,0.33
Indian,rosy cheeks,no,0.54
Indian,sideburns,no,1.0
Indian,straight hair,yes,0.59
Indian,wavy hair,no,1.0
Indian,wearing earrings,yes,0.22
Indian,wearing hat,no,0.32
Indian,wearing lipstick,yes,0.53
Indian,wearing necklace,yes,0.17
Indian,wearing necktie,no,1.0
Indian,young,yes,0.94
Iranian,5oclock shadow,no,1.0
Iranian,arched eyebrows,no,0.51
Iranian,attractive,no,0.2
Iranian,bags under eyes,no,0.79
Iranian,bald,no,0.74
Iranian,bangs,no,1.0
Iranian,beard,no,1.0
Iranian,big lips,no,0.52
Iranian,big nose,no,0.85
Iranian,black hair,yes,0.29
Iranian,blond hair,no,0.78
Iranian,blurry,yes,0.23
Iranian,brown hair,no,0.33
Iranian,bushy eyebrows,no,0.46
Iranian,chubby,no,0.59
Iranian,double chin,no,1.0
Iranian,expression,neutral,0.52
Iranian,gender,female,1.0
Iranian,glasses,no,1.0
Iranian,goatee,no,1.0
Iranian,gray hair,no,1.0
Iranian,heavy makeup,no,0.63
Iranian,high cheekbones,no,0.34
Iranian,mouth open,no,0.69
Iranian,mustache,no,1.0
Iranian,narrow eyes,no,0.47
Iranian,oval face,yes,0.76
Iranian,pale skin,no,0.26
Iranian,pointy nose,no,1.0
Iranian,race,hispanic,0.74
Iranian,receding hairline,no,0.25
Iranian,rosy cheeks,no,1.0
Iranian,sideburns,no,1.0
Iranian,straight hair,yes,0.29
Iranian,wavy hair,no,0.85
Iranian,wearing earrings,no,0.21
Iranian,wearing hat,no,0.28
Iranian,wearing lipstick,no,0.22
Iranian,wearing necklace,no,0.39
Iranian,wearing necktie,no,1.0
Iranian,young,yes,1.0
Irish,5oclock shadow,no,1.0
Irish,arched eyebrows,no,0.34
Irish,attractive,no,0.04
Irish,bags under eyes,no,0.69
Irish,bald,no,0.73
Irish,bangs,no,0.53
Irish,beard,no,1.0
Irish,big lips,no,0.76
Irish,big nose,no,1.0
Irish,black hair,no,0.77
Irish,blond hair,no,0.58
Irish,blurry,yes,0.11
Irish,brown hair,yes,0.64
Irish,bushy eyebrows,no,1.0
Irish,chubby,no,0.77
Irish,double chin,no,0.99
Irish,expression,smile,0.08
Irish,gender,female,1.0
Irish,glasses,no,1.0
Irish,goatee,no,1.0
Irish,gray hair,no,0.95
Irish,heavy makeup,no,0.45
Irish,high cheekbones,no,0.0
Irish,mouth open,no,0.86
Irish,mustache,no,1.0
Irish,narrow eyes,no,0.37
Irish,oval face,yes,0.65
Irish,pale skin,no,0.29
Irish,pointy nose,no,0.79
Irish,race,white,1.0
Irish,receding hairline,no,0.3
Irish,rosy cheeks,no,1.0
Irish,sideburns,no,1.0
Irish,straight hair,yes,0.88
Irish,wavy hair,no,1.0
Irish,wearing earrings,no,0.12
Irish,wearing hat,no,0.9
Irish,wearing lipstick,no,0.03
Irish,wearing necklace,no,0.32
Irish,wearing necktie,no,0.84
Irish,young,yes,0.43
Israeli,5oclock shadow,no,1.0
Israeli,arched eyebrows,no,0.06
Israeli,attractive,yes,0.08
Israeli,bags under eyes,no,0.91
Israeli,bald,no,0.65
Israeli,bangs,no,0.94
Israeli,beard,no,1.0
Israeli,big lips,no,0.66
Israeli,big nose,no,0.99
Israeli,black hair,no,0.2
Israeli,blond hair,no,0.67
Israeli,blurry,no,0.08
Israeli,brown hair,yes,0.09
Israeli,bushy eyebrows,no,0.82
Israeli,chubby,no,0.54
Israeli,double chin,no,0.88
Israeli,expression,smile,0.36
Israeli,gender,female,1.0
Israeli,glasses,no,1.0
Israeli,goatee,no,1.0
Israeli,gray hair,no,1.0
Israeli,heavy makeup,yes,0.01
Israeli,high cheekbones,yes,0.35
Israeli,mouth open,no,0.79
Israeli,mustache,no,1.0
Israeli,narrow eyes,no,0.64
Israeli,oval face,yes,1.0
Israeli,pale skin,no,0.45
Israeli,pointy nose,no,0.86
Israeli,race,white,1.0
Israeli,receding hairline,yes,0.02
Israeli,rosy cheeks,no,0.71
Israeli,sideburns,no,1.0
Israeli,straight hair,yes,0.42
Israeli,wavy hair,no,0.97
Israeli,wearing earrings,yes,0.33
Israeli,wearing hat,no,0.79
Israeli,wearing lipstick,yes,0.34
Israeli,wearing necklace,no,0.24
Israeli,wearing necktie,no,1.0
Israeli,young,yes,0.66
Italian,5oclock shadow,no,1.0
Italian,arched eyebrows,yes,0.01
Italian,attractive,yes,0.04
Italian,bags under eyes,no,0.68
Italian,bald,no,0.63
Italian,bangs,no,0.8
Italian,beard,no,1.0
Italian,big lips,no,0.41
Italian,big nose,no,0.85
Italian,black hair,no,0.53
Italian,blond hair,yes,0.01
Italian,blurry,yes,0.02
Italian,brown hair,no,0.07
Italian,bushy eyebrows,no,1.0
Italian,chubby,no,0.77
Italian,double chin,no,1.0
Italian,expression,smile,0.09
Italian,gender,female,1.0
Italian,glasses,no,1.0
Italian,goatee,no,1.0
Italian,gray hair,no,0.94
Italian,heavy makeup,no,0.25
Italian,high cheekbones,yes,0.02
Italian,mouth open,no,0.62
Italian,mustache,no,1.0
Italian,narrow eyes,no,0.59
Italian,oval face,yes,0.63
Italian,pale skin,yes,0.04
Italian,pointy nose,no,0.92
Italian,race,white,1.0
Italian,receding hairline,no,0.01
Italian,rosy cheeks,no,1.0
Italian,sideburns,no,1.0
Italian,straight hair,yes,0.74
Italian,wavy hair,no,1.0
Italian,wearing earrings,no,0.13
Italian,wearing hat,no,0.84
Italian,wearing lipstick,yes,0.17
Italian,wearing necklace,no,0.17
Italian,wearing necktie,no,1.0
Italian,young,yes,0.79
Japanese,5oclock shadow,no,1.0
Japanese,arched eyebrows,no,0.1
Japanese,attractive,no,0.2
Japanese,bags under eyes,no,0.75
Japanese,bald,no,0.78
Japanese,bangs,no,0.05
Japanese,beard,no,1.0
Japanese,big lips,no,0.74
Japanese,big nose,no,1.0
Japanese,black hair,no,0.43
Japanese,blond hair,no,0.48
Japanese,blurry,yes,0.08
Japanese,brown hair,yes,0.38
Japanese,bushy eyebrows,no,0.85
Japanese,chubby,no,0.58
Japanese,double chin,no,0.91
Japanese,expression,neutral,0.3
Japanese,gender,female,1.0
Japanese,glasses,no,1.0
Japanese,goatee,no,1.0
Japanese,gray hair,no,0.91
Japanese,heavy makeup,no,0.31
Japanese,high cheekbones,no,0.23
Japanese,mouth open,no,0.91
Japanese,mustache,no,1.0
Japanese,narrow eyes,no,0.19
Japanese,oval face,yes,1.0
Japanese,pale skin,no,0.49
Japanese,pointy nose,no,1.0
Japanese,race,asian,1.0
Japanese,receding hairline,no,0.39
Japanese,rosy cheeks,no,0.98
Japanese,sideburns,no,1.0
Japanese,straight hair,yes,0.54
Japanese,wavy hair,no,0.84
Japanese,wearing earrings,yes,0.05
Japanese,wearing hat,no,1.0
Japanese,wearing lipstick,yes,0.1
Japanese,wearing necklace,no,0.26
Japanese,wearing necktie,no,0.98
Japanese,young,yes,0.52
Korean,5oclock shadow,no,1.0
Korean,arched eyebrows,no,0.2
Korean,attractive,no,0.23
Korean,bags under eyes,no,0.61
Korean,bald,no,1.0
Korean,bangs,yes,0.21
Korean,beard,no,1.0
Korean,big lips,no,0.59
Korean,big nose,no,0.96
Korean,black hair,yes,0.22
Korean,blond hair,no,0.85
Korean,blurry,yes,0.21
Korean,brown hair,no,0.13
Korean,bushy eyebrows,no,0.32
Korean,chubby,no,0.69
Korean,double chin,no,1.0
Korean,expression,neutral,0.15
Korean,gender,female,0.8
Korean,glasses,no,1.0
Korean,goatee,no,1.0
Korean,gray hair,no,1.0
Korean,heavy makeup,no,0.42
Korean,high cheekbones,no,0.11
Korean,mouth open,no,0.75
Korean,mustache,no,1.0
Korean,narrow eyes,yes,0.4
Korean,oval face,yes,0.75
Korean,pale skin,no,0.53
Korean,pointy nose,no,0.88
Korean,race,asian,1.0
Korean,receding hairline,no,0.82
Korean,rosy cheeks,no,0.99
Korean,sideburns,no,1.0
Korean,straight hair,yes,0.5
Korean,wavy hair,no,0.88
Korean,wearing earrings,yes,0.02
Korean,wearing hat,no,0.46
Korean,wearing lipstick,no,0.07
Korean,wearing necklace,no,0.3
Korean,wearing necktie,no,1.0
Korean,young,yes,0.8
Laotian,5oclock shadow,no,1.0
Laotian,arched eyebrows,no,0.4
Laotian,attractive,no,0.61
Laotian,bags under eyes,no,0.57
Laotian,bald,no,0.65
Laotian,bangs,no,0.23
Laotian,beard,no,0.99
Laotian,big lips,no,0.84
Laotian,big nose,no,1.0
Laotian,black hair,no,0.63
Laotian,blond hair,no,0.15
Laotian,blurry,yes,0.61
Laotian,brown hair,no,0.24
Laotian,bushy eyebrows,no,0.91
Laotian,chubby,no,0.51
Laotian,double chin,no,0.82
Laotian,expression,neutral,0.17
Laotian,gender,female,1.0
Laotian,glasses,no,1.0
Laotian,goatee,no,1.0
