countries,feature,value,confidence,meaning
South African,bald,yes,0.03,1
South African,bangs,no,0.85,1
South African,beard,yes,0.75,1
South African,big lips,yes,0.4,1
South African,big nose,yes,0.63,1
South African,black hair,yes,0.07,1
South African,blond hair,no,1.0,1
South African,blurry,no,0.26,1
South African,brown hair,no,0.23,1
South African,bushy eyebrows,yes,0.22,1
South African,chubby,yes,0.61,1
South African,double chin,yes,0.14,1
South African,expression,neutral,0.2,1
South African,gender,male,0.8,1
South African,glasses,no,1.0,1
South African,goatee,yes,0.67,1
South African,gray hair,no,0.79,1
South African,heavy makeup,no,0.96,1
South African,high cheekbones,yes,0.19,1
South African,mouth open,no,0.93,1
South African,mustache,yes,0.61,1
South African,narrow eyes,no,0.78,1
South African,oval face,yes,0.7,1
South African,pale skin,no,1.0,1
South African,pointy nose,no,1.0,1
South African,race,black,1.0,1
South African,receding hairline,yes,0.28,1
South African,rosy cheeks,no,0.95,1
South African,sideburns,yes,0.38,1
South African,straight hair,no,0.39,1
South African,wavy hair,no,0.73,1
South African,wearing earrings,no,0.3,1
South African,wearing hat,no,0.42,1
South African,wearing lipstick,no,0.93,1
South African,wearing necklace,no,0.53,1
South African,wearing necktie,no,0.29,1
South African,young,yes,0.04,1
Spaniard,5oclock shadow,yes,0.56,1
Spaniard,arched eyebrows,no,0.59,1
Spaniard,attractive,no,0.21,1
Spaniard,bags under eyes,no,0.63,1
Spaniard,bald,no,0.9,1
Spaniard,bangs,no,0.83,1
Spaniard,beard,yes,0.43,1
Spaniard,big lips,no,0.81,1
Spaniard,big nose,no,0.56,1
Spaniard,black hair,yes,0.14,1
Spaniard,blond hair,no,1.0,1
Spaniard,blurry,no,0.6,1
Spaniard,brown hair,yes,0.0,1
Spaniard,bushy eyebrows,yes,0.96,1
Spaniard,chubby,no,0.6,1
Spaniard,double chin,no,0.89,1
Spaniard,expression,neutral,0.61,1
Spaniard,gender,male,1.0,1
Spaniard,glasses,no,1.0,1
Spaniard,goatee,no,0.0,1
Spaniard,gray hair,no,1.0,1
Spaniard,heavy makeup,no,0.91,1
Spaniard,high cheekbones,no,0.83,1
Spaniard,mouth open,no,0.8,1
Spaniard,mustache,yes,0.0,1
Spaniard,narrow eyes,no,0.73,1
Spaniard,oval face,yes,0.64,1
Spaniard,pale skin,no,1.0,1
Spaniard,pointy nose,no,0.53,1
Spaniard,race,white,1.0,1
Spaniard,receding hairline,no,0.81,1
Spaniard,rosy cheeks,no,0.9,1
Spaniard,sideburns,no,0.05,1
Spaniard,straight hair,yes,0.57,1
Spaniard,wavy hair,no,0.96,1
Spaniard,wearing earrings,no,0.79,1
Spaniard,wearing hat,no,0.86,1
Spaniard,wearing lipstick,no,0.97,1
Spaniard,wearing necklace,no,1.0,1
Spaniard,wearing necktie,yes,0.12,1
Spaniard,young,yes,0.77,1
Swiss,5oclock shadow,yes,0.58,1
Swiss,arched eyebrows,no,0.63,1
Swiss,attractive,yes,0.28,1
Swiss,bags under eyes,no,0.88,1
Swiss,bald,no,0.91,1
Swiss,bangs,no,1.0,1
Swiss,beard,yes,0.29,1
Swiss,big lips,no,0.84,1
Swiss,big nose,no,0.64,1
Swiss,black hair,yes,0.17,1
Swiss,blond hair,no,1.0,1
Swiss,blurry,no,0.81,1
Swiss,brown hair,no,0.13,1
Swiss,bushy eyebrows,yes,0.79,1
Swiss,chubby,no,0.92,1
Swiss,double chin,no,1.0,1
Swiss,expression,neutral,0.62,1
Swiss,gender,male,1.0,1
Swiss,glasses,no,1.0,1
Swiss,goatee,no,0.21,1
Swiss,gray hair,no,1.0,1
Swiss,heavy makeup,no,0.94,1
Swiss,high cheekbones,no,1.0,1
Swiss,mouth open,no,0.88,1
Swiss,mustache,no,0.26,1
Swiss,narrow eyes,no,0.93,1
Swiss,oval face,yes,0.65,1
Swiss,pale skin,no,0.55,1
Swiss,pointy nose,no,0.26,1
Swiss,race,white,1.0,1
Swiss,receding hairline,no,0.76,1
Swiss,rosy cheeks,no,0.95,1
Swiss,sideburns,no,0.23,1
Swiss,straight hair,yes,0.72,1
Swiss,wavy hair,no,1.0,1
Swiss,wearing earrings,no,0.94,1
Swiss,wearing hat,no,0.72,1
Swiss,wearing lipstick,no,1.0,1
Swiss,wearing necklace,no,1.0,1
Swiss,wearing necktie,yes,0.15,1
Swiss,young,yes,1.0,1
Taiwanese,5oclock shadow,no,0.47,1
Taiwanese,arched eyebrows,no,0.61,1
Taiwanese,attractive,yes,0.13,1
Taiwanese,bags under eyes,no,0.62,1
Taiwanese,bald,no,0.95,1
Taiwanese,bangs,no,0.51,1
Taiwanese,beard,no,0.8,1
Taiwanese,big lips,no,0.65,1
Taiwanese,big nose,no,0.57,1
Taiwanese,black hair,yes,1.0,1
Taiwanese,blond hair,no,1.0,1
Taiwanese,blurry,no,0.52,1
Taiwanese,brown hair,no,0.81,1
Taiwanese,bushy eyebrows,yes,0.41,1
Taiwanese,chubby,no,0.53,1
Taiwanese,double chin,no,0.95,1
Taiwanese,expression,neutral,0.84,1
Taiwanese,gender,male,0.69,1
Taiwanese,glasses,no,1.0,1
Taiwanese,goatee,no,1.0,1
Taiwanese,gray hair,no,1.0,1
Taiwanese,heavy makeup,no,0.82,1
Taiwanese,high cheekbones,no,0.74,1
Taiwanese,mouth open,no,1.0,1
Taiwanese,mustache,no,0.84,1
Taiwanese,narrow eyes,no,0.59,1
Taiwanese,oval face,yes,0.77,1
Taiwanese,pale skin,no,0.28,1
Taiwanese,pointy nose,no,1.0,1
Taiwanese,race,asian,1.0,1
Taiwanese,receding hairline,no,0.54,1
Taiwanese,rosy cheeks,no,1.0,1
Taiwanese,sideburns,no,1.0,1
Taiwanese,straight hair,yes,1.0,1
Taiwanese,wavy hair,no,1.0,1
Taiwanese,wearing earrings,no,0.74,1
Taiwanese,wearing hat,no,1.0,1
Taiwanese,wearing lipstick,no,0.77,1
Taiwanese,wearing necklace,no,1.0,1
Taiwanese,wearing necktie,yes,0.08,1
Taiwanese,young,yes,1.0,1
Thai,5oclock shadow,no,0.41,1
Thai,arched eyebrows,no,0.77,1
Thai,attractive,no,0.71,1
Thai,bags under eyes,yes,0.04,1
Thai,bald,no,0.85,1
Thai,bangs,no,0.51,1
Thai,beard,no,0.66,1
Thai,big lips,no,0.72,1
Thai,big nose,no,0.23,1
Thai,black hair,yes,0.72,1
Thai,blond hair,no,1.0,1
Thai,blurry,yes,0.29,1
Thai,brown hair,no,0.44,1
Thai,bushy eyebrows,yes,0.14,1
Thai,chubby,no,0.09,1
Thai,double chin,no,0.37,1
Thai,expression,smile,0.1,1
Thai,gender,male,0.67,1
Thai,glasses,no,1.0,1
Thai,goatee,no,0.98,1
Thai,gray hair,no,1.0,1
Thai,heavy makeup,no,1.0,1
Thai,high cheekbones,yes,0.07,1
Thai,mouth open,no,0.09,1
Thai,mustache,no,0.78,1
Thai,narrow eyes,yes,0.2,1
Thai,oval face,yes,0.61,1
Thai,pale skin,no,1.0,1
Thai,pointy nose,no,1.0,1
Thai,race,asian,1.0,1
Thai,receding hairline,no,0.58,1
Thai,rosy cheeks,no,1.0,1
Thai,sideburns,no,1.0,1
Thai,straight hair,yes,0.51,1
Thai,wavy hair,no,0.84,1
Thai,wearing earrings,no,0.8,1
Thai,wearing hat,no,0.64,1
Thai,wearing lipstick,no,0.98,1
Thai,wearing necklace,no,0.89,1
Thai,wearing necktie,no,0.12,1
Thai,young,yes,0.39,1
Ukrainian,5oclock shadow,no,0.02,1
Ukrainian,arched eyebrows,no,0.94,1
Ukrainian,attractive,no,0.0,1
Ukrainian,bags under eyes,no,0.74,1
Ukrainian,bald,no,0.87,1
Ukrainian,bangs,no,0.91,1
Ukrainian,beard,no,0.58,1
Ukrainian,big lips,no,0.89,1
Ukrainian,big nose,no,0.82,1
Ukrainian,black hair,no,0.81,1
Ukrainian,blond hair,no,0.7,1
Ukrainian,blurry,no,0.52,1
Ukrainian,brown hair,yes,0.69,1
Ukrainian,bushy eyebrows,no,0.1,1
Ukrainian,chubby,no,0.89,1
Ukrainian,double chin,no,1.0,1
Ukrainian,expression,neutral,0.85,1
Ukrainian,gender,male,0.88,1
Ukrainian,glasses,no,1.0,1
Ukrainian,goatee,no,1.0,1
Ukrainian,gray hair,no,1.0,1
Ukrainian,heavy makeup,no,0.95,1
Ukrainian,high cheekbones,no,1.0,1
Ukrainian,mouth open,no,0.84,1
Ukrainian,mustache,no,0.96,1
Ukrainian,narrow eyes,no,0.87,1
Ukrainian,oval face,yes,0.56,1
Ukrainian,pale skin,no,0.39,1
Ukrainian,pointy nose,no,0.74,1
Ukrainian,race,white,1.0,1
Ukrainian,receding hairline,no,0.63,1
Ukrainian,rosy cheeks,no,1.0,1
Ukrainian,sideburns,no,1.0,1
Ukrainian,straight hair,yes,0.9,1
Ukrainian,wavy hair,no,1.0,1
Ukrainian,wearing earrings,no,1.0,1
Ukrainian,wearing hat,no,0.83,1
Ukrainian,wearing lipstick,no,0.98,1
Ukrainian,wearing necklace,no,1.0,1
Ukrainian,wearing necktie,no,0.01,1
Ukrainian,young,yes,0.95,1
Uzbek,5oclock shadow,no,0.12,1
Uzbek,arched eyebrows,no,0.79,1
Uzbek,attractive,no,0.66,1
Uzbek,bags under eyes,no,0.68,1
Uzbek,bald,no,0.75,1
Uzbek,bangs,no,0.91,1
Uzbek,beard,no,0.36,1
Uzbek,big lips,no,0.68,1
Uzbek,big nose,no,0.51,1
Uzbek,black hair,yes,0.7,1
Uzbek,blond hair,no,1.0,1
Uzbek,blurry,no,0.07,1
Uzbek,brown hair,no,0.84,1
Uzbek,bushy eyebrows,yes,0.32,1
Uzbek,chubby,no,0.3,1
Uzbek,double chin,no,0.79,1
Uzbek,expression,neutral,1.0,1
Uzbek,gender,male,0.92,1
Uzbek,glasses,no,1.0,1
Uzbek,goatee,no,0.72,1
Uzbek,gray hair,no,1.0,1
Uzbek,heavy makeup,no,0.86,1
Uzbek,high cheekbones,no,0.79,1
Uzbek,mouth open,no,0.89,1
Uzbek,mustache,no,0.52,1
Uzbek,narrow eyes,no,0.41,1
Uzbek,oval face,yes,0.46,1
Uzbek,pale skin,no,0.8,1
Uzbek,pointy nose,no,1.0,1
Uzbek,race,hispanic,0.86,1
Uzbek,receding hairline,no,0.55,1
Uzbek,rosy cheeks,no,1.0,1
Uzbek,sideburns,no,0.82,1
Uzbek,straight hair,yes,0.47,1
Uzbek,wavy hair,no,1.0,1
Uzbek,wearing earrings,no,0.65,1
Uzbek,wearing hat,no,0.16,1
Uzbek,wearing lipstick,no,0.96,1
Uzbek,wearing necklace,no,1.0,1
Uzbek,wearing necktie,no,0.12,1
Uzbek,young,yes,0.69,1
Vietnamese,5oclock shadow,no,0.41,1
Vietnamese,arched eyebrows,no,0.55,1
Vietnamese,attractive,no,0.29,1
Vietnamese,bags under eyes,no,0.65,1
Vietnamese,bald,no,0.95,1
Vietnamese,bangs,no,0.85,1
Vietnamese,beard,no,0.68,1
Vietnamese,big lips,no,0.57,1
Vietnamese,big nose,no,0.67,1
Vietnamese,black hair,yes,0.78,1
Vietnamese,blond hair,no,1.0,1
Vietnamese,blurry,no,0.25,1
Vietnamese,brown hair,no,0.56,1
Vietnamese,bushy eyebrows,yes,0.52,1
Vietnamese,chubby,no,0.54,1
Vietnamese,double chin,no,1.0,1
Vietnamese,expression,neutral,1.0,1
Vietnamese,gender,male,0.6,1
Vietnamese,glasses,no,1.0,1
Vietnamese,goatee,no,0.92,1
Vietnamese,gray hair,no,1.0,1
Vietnamese,heavy makeup,no,0.89,1
Vietnamese,high cheekbones,no,0.85,1
Vietnamese,mouth open,no,1.0,1
Vietnamese,mustache,no,0.78,1
Vietnamese,narrow eyes,no,0.37,1
Vietnamese,oval face,yes,0.57,1
Vietnamese,pale skin,no,0.62,1
Vietnamese,pointy nose,no,1.0,1
Vietnamese,race,asian,1.0,1
Vietnamese,receding hairline,no,0.52,1
Vietnamese,rosy cheeks,no,1.0,1
Vietnamese,sideburns,no,1.0,1
Vietnamese,straight hair,yes,0.86,1
Vietnamese,wavy hair,no,1.0,1
Vietnamese,wearing earrings,no,0.58,1
Vietnamese,wearing hat,no,0.74,1
Vietnamese,wearing lipstick,no,0.84,1
Vietnamese,wearing necklace,no,0.95,1
Vietnamese,wearing necktie,no,0.24,1
Vietnamese,young,yes,1.0,1
